ts,pod_gib,node_gib,host_avail_gib,phase
11:45:17,1.37,2.04,8,Downloading a snapshot
11:45:39,1.34,2.04,8,Downloading a snapshot
11:46:00,1.34,2.045,7,Downloading a snapshot
11:46:22,1.36,2.043,7,
11:46:43,2.22,2.702,7,Loading bank
11:47:04,2.28,2.768,7,Loading bank
11:47:26,2.35,2.801,7,Loading bank
11:47:47,2.38,2.819,7,Loading bank
11:48:09,2.43,2.854,7,Loading bank
11:48:30,2.49,2.88,7,Loading bank
11:48:52,2.54,2.89,7,Loading bank
11:49:13,2.60,2.927,7,Loading bank
11:49:35,2.66,2.963,7,
11:49:56,5.20,3.071,7,generating index
11:50:18,5.18,3.099,7,generating index
11:50:40,5.11,3.307,7,generating index
11:51:04,5.19,3.415,7,generating index
11:51:26,5.94,4.613,5,generating index
11:51:48,5.69,4.114,6,generating index
11:52:09,6.31,3.936,7,generating index
11:52:31,6.14,4.055,6,generating index
11:52:52,3.53,2.429,8,
11:53:13,3.23,2.916,7,Loading bank
11:53:35,3.29,2.954,7,Loading bank
11:53:56,3.34,2.973,7,Loading bank
11:54:18,3.39,3,7,Loading bank
11:54:39,3.45,3.001,7,Loading bank
11:55:01,3.40,3.018,7,Loading bank
11:55:22,3.45,3.032,7,Loading bank
11:55:44,3.50,3.054,7,Loading bank
11:56:05,3.55,3.088,7,Loading bank
11:56:26,0.08,2.273,7,
11:56:48,1.02,2.894,7,Loading bank
11:57:09,1.11,2.948,7,Loading bank
11:57:31,1.17,2.98,7,Loading bank
11:57:52,1.22,3.007,7,Loading bank
11:58:14,1.27,3.026,7,Loading bank
11:58:36,1.33,3.066,7,Loading bank
11:58:57,1.38,3.09,7,Loading bank
11:59:18,1.43,3.113,7,Loading bank
11:59:40,1.49,3.134,7,
12:00:02,2.30,3.014,7,generating index
12:00:23,5.90,4.192,6,generating index
12:00:45,5.85,5.494,5,generating index
12:01:06,6.61,6.354,4,generating index
12:01:28,6.43,5.93,4,generating index
12:01:49,6.14,5.095,5,generating index
12:02:11,6.26,4.471,6,generating index
12:02:32,6.48,5.233,5,generating index
12:02:54,5.96,6.304,4,new fork
12:03:16,5.64,6.72,4,new fork
12:03:39,5.64,6.61,4,new fork
12:04:00,5.67,6.628,4,new fork
12:04:22,5.78,6.795,4,new fork
12:04:44,6.16,6.929,4,new fork
12:05:06,5.97,6.756,4,new fork
12:05:28,6.46,7.246,3,new fork
12:05:49,6.07,7.083,4,new fork
12:06:11,6.69,7.338,4,new fork
12:06:33,6.11,6.967,4,new fork
12:06:55,6.22,7.182,4,new fork
12:07:16,6.45,7.288,4,new fork
12:07:38,6.07,7.041,4,new fork
12:08:00,6.32,7.148,4,new fork
12:08:22,6.13,7.119,4,new fork
12:08:43,6.22,7.109,4,new fork
12:09:05,5.75,6.778,4,new fork
12:09:28,5.72,6.629,4,new fork
12:09:50,5.94,6.906,4,new fork
12:10:11,5.91,6.931,4,new fork
12:10:33,5.60,6.648,4,new fork
12:10:54,5.73,6.627,4,new fork
12:11:16,5.78,6.822,4,new fork
12:11:38,5.21,6.102,5,new fork
12:11:59,5.61,6.504,4,new fork
12:12:21,5.49,6.295,5,new fork
12:12:42,5.85,6.726,4,new fork
12:13:04,5.65,6.494,4,new fork
12:13:25,6.12,6.936,4,new fork
12:13:47,5.88,6.766,4,new fork
12:14:09,5.66,6.453,5,new fork
12:14:30,5.90,6.744,4,new fork
12:14:52,5.71,6.507,4,new fork
12:15:13,5.96,6.702,4,new fork
12:15:35,5.62,6.472,4,new fork
12:15:56,5.98,6.907,4,new fork
12:16:18,5.84,6.705,4,new fork
12:16:40,5.85,6.658,4,new fork
12:17:01,5.80,6.663,4,new fork
12:17:23,5.66,6.45,5,new fork
12:17:44,6.17,6.902,4,new fork
12:18:06,5.85,6.664,4,new fork
12:18:27,6.30,7.122,4,new fork
12:18:49,5.77,6.641,4,new fork
12:19:11,5.97,6.807,4,new fork
12:19:32,5.79,6.698,4,new fork
12:19:54,5.53,6.399,5,new fork
12:20:15,5.96,6.824,4,new fork
12:20:37,5.75,6.602,4,new fork
12:20:58,6.20,7.088,4,new fork
12:21:20,5.92,6.805,4,new fork
12:21:41,6.31,7.136,3,new fork
12:22:03,6.06,6.987,3,new fork
12:22:25,5.48,6.412,5,new fork
12:22:46,5.76,6.747,4,new fork
12:23:08,5.53,6.526,4,new fork
12:23:30,5.96,6.983,4,new fork
12:23:51,0.09,2.371,8,
12:24:13,5.39,4.036,7,generating index
12:24:35,5.59,5.215,5,generating index
12:24:56,6.12,6.277,4,generating index
12:25:18,6.00,5.804,4,generating index
12:25:39,6.43,4.816,6,generating index
12:26:01,6.40,4.958,6,generating index
12:26:22,5.80,6.354,4,new fork
12:26:45,5.91,7.024,4,new fork
12:27:06,5.49,6.915,4,new fork
12:27:28,5.40,6.688,4,new fork
12:27:49,5.39,6.757,4,new fork
12:28:11,4.87,6.265,4,new fork
12:28:32,5.09,6.511,4,new fork
12:28:54,4.86,6.294,4,new fork
12:29:16,4.90,6.499,4,new fork
12:29:38,4.88,6.308,4,new fork
12:29:59,4.92,6.244,5,new fork
12:30:21,5.05,6.493,4,new fork
12:30:42,4.86,6.321,3,new fork
12:31:04,5.10,6.658,3,new fork
